X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,state,district,city,gid,layer_switcher
72.8391828253516,18.9720358769425,Byculla Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"43",police_station_juridiction
72.8275702748671,18.9777047185956,Agripada  Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"51",police_station_juridiction
72.8179462659718,19.1330061664991,Versova Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"36",police_station_juridiction
72.8511987216721,19.1161217756654,Andheri Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"74",police_station_juridiction
72.8607603256095,19.1324427237361,Meghwadi Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"79",police_station_juridiction
72.9222710969424,19.0269542415113,Trombay Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"67",police_station_juridiction
72.8308176743316,18.9378682760112,Aazad Maidan  Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"46",police_station_juridiction
72.9340812238169,19.0541303523507,Mankhurd Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"6",police_station_juridiction
72.816663946321,18.9774695390869,Tardeo Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"24",police_station_juridiction
72.8507842197571,19.0039498315367,RAK Marg Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"66",police_station_juridiction
72.8715179408085,19.1011735935934,Sahar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"57",police_station_juridiction
72.9013704655197,19.1276579040406,Powai Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"90",police_station_juridiction
72.8423290939152,19.0404953837831,Mahim Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"31",police_station_juridiction
72.9193461401716,19.0576865195294,Deonar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"50",police_station_juridiction
72.8392771252979,18.9594228148839,Dongri Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"42",police_station_juridiction
72.8665878706423,19.0324327599108,Antop Hill Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"41",police_station_juridiction
72.9253749222642,19.0660584224628,Shivaji Nagar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"86",police_station_juridiction
72.8616270121938,19.0903271592261,Airport Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"55",police_station_juridiction
72.8402097333689,19.1336631142746,Amboli  Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"29",police_station_juridiction
72.8554524675006,18.979607743694,Sewree Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"63",police_station_juridiction
72.8614642375073,19.0388488496667,Sion Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"2",police_station_juridiction
72.8815380297364,19.1504824312283,Aarey Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"10",police_station_juridiction
72.8405665810704,19.0028694494899,Bhoiwada Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"12",police_station_juridiction
72.885105983409,19.0780447503687,VB Nagar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"72",police_station_juridiction
72.8313956994888,19.0712413611942,Khar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"58",police_station_juridiction
72.8501220829974,19.1016962910915,Ville Parle Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"81",police_station_juridiction
72.8961325046408,19.0728998005588,Tilaknagar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"27",police_station_juridiction
72.8636938669434,19.0809389912518,Vakola Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"80",police_station_juridiction
72.8937801549177,19.1036008070366,Sakinaka Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"84",police_station_juridiction
72.854294385157,19.023603311628,Matunga Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"85",police_station_juridiction
72.8574927786946,19.0469617173117,Dharavi Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"4",police_station_juridiction
72.8299570596406,19.0169500069371,Dadar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"44",police_station_juridiction
72.941931961742,19.1175227500178,Vikroli Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"89",police_station_juridiction
72.7998591963509,19.2423204027755,Boriwali Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"16",police_station_juridiction
72.8677688770065,19.2054813734181,Samtanagar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"61",police_station_juridiction
72.8344752796011,19.1209937676534,DN Nagar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"56",police_station_juridiction
72.8421418997513,19.1572320790246,Goregaon Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"13",police_station_juridiction
72.8648666817135,19.011637350922,Wadala Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"30",police_station_juridiction
72.8969973252682,19.0244142147634,RCF Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"71",police_station_juridiction
72.8521873507977,19.1343644771079,Jogeshwari Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"83",police_station_juridiction
72.8283101855312,19.1464133984087,Oshivara Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"82",police_station_juridiction
72.8719052385183,19.1237992778479,MIDC Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"78",police_station_juridiction
72.8748405743652,19.0278401514654,Wadala TT Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"77",police_station_juridiction
72.849231538285,19.2490540685434,MHB Colony Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"9",police_station_juridiction
72.8387152671761,19.1786528668925,Malad Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"28",police_station_juridiction
72.9155992812061,19.0518899648873,Govandi Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"7",police_station_juridiction
72.884548784247,19.0551551292118,Nehrunagar Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"11",police_station_juridiction
72.8725683787619,19.0480063867732,Chunabhatti Police Station,,,,,,"-1","0","-1",,,Maharastra,Mumbai,Mumbai,"26",police_station_juridiction
