X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,type,state,district,city,location_placename_gid,location_placename_name,gid,layer_switcher
72.830346,18.945336,LT Marg PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"438",Tak Wadi,"40",poi_police_station
72.864815,19.030468,Antop Hill PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"711",Cgs Colony Sector 4,"41",poi_police_station
72.83902,18.962186,Dongri PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"918",Dongri,"42",poi_police_station
72.834004,18.973606,Byculla PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"682",Mustafa Bazar,"43",poi_police_station
72.835431,19.014996,Dadar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"787",Lokmanya Tilak Colony,"44",poi_police_station
72.822098,19.192107,Malwani PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"668",Malvani,"45",poi_police_station
72.83351,18.941706,Azad Maidan PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"48",Azad Maidan,"46",poi_police_station
72.829575,18.967087,Nagpada PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"681",Mumbai Central,"47",poi_police_station
72.809116,18.966757,Gamdevi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"15",Gamdevi,"48",poi_police_station
72.830948,18.991383,NM Joshi PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"609",Lower Parel,"49",poi_police_station
72.917442,19.0583,Deonar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"709",Deonar,"50",poi_police_station
72.824207,18.976595,Agripada PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"398",Rto Colony,"51",poi_police_station
72.864285,19.252693,Dahisar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"475",Yadav Nagar,"52",poi_police_station
72.899796,19.087666,Ghatkopar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"272",Chirag Nagar,"53",poi_police_station
72.860245,19.06457,Bandra Kurla Complex PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"911",Bharam Nagar,"54",poi_police_station
72.857075,19.094629,Airport PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"627",Santacruz East,"55",poi_police_station
72.829764,19.122187,DN Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"848",Shiv Nagar,"56",poi_police_station
72.875252,19.098885,Sahar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"912",Sahar Village,"57",poi_police_station
72.837791,19.072868,Khar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"870",Ram Krishna Nagar,"58",poi_police_station
72.832012,18.954189,Paidhuni PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"41",Mumbadevi Area,"59",poi_police_station
72.857708,19.155806,Vanrai PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"902",Sant Rohidas Nagar,"60",poi_police_station
72.861482,19.199956,Samta Nagar PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"694",Samata Nagar,"61",poi_police_station
72.84227,18.987818,Kalachowkey PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1446",Chatai Chawl,"62",poi_police_station
72.849223,18.977729,Sewree PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"109",Sewri,"63",poi_police_station
72.831116,18.922348,Colaba PS,,,,,,"-1","0","-1",,,Police Station,Maharastra,Mumbai,Mumbai,"1276",Police Colony,"64",poi_police_station
